t	i	j	DateTime
1560396500	ARIELLE	FANA	13/06/2019 05:28
1560396500	ARIELLE	VIOLETTE	13/06/2019 05:28
1560396520	FANA	HARLEM	13/06/2019 05:28
1560396540	FELIPE	ANGELE	13/06/2019 05:29
1560396540	ARIELLE	FANA	13/06/2019 05:29
1560396580	BOBO	FELIPE	13/06/2019 05:29
1560396620	EWINE	PIPO	13/06/2019 05:30
1560396640	FANA	HARLEM	13/06/2019 05:30
1560396660	BOBO	FEYA	13/06/2019 05:31
1560396660	FANA	VIOLETTE	13/06/2019 05:31
1560396660	VIOLETTE	FEYA	13/06/2019 05:31
1560396660	ARIELLE	FANA	13/06/2019 05:31
1560396700	FANA	HARLEM	13/06/2019 05:31
1560396700	ARIELLE	FANA	13/06/2019 05:31
1560396720	FANA	HARLEM	13/06/2019 05:32
1560396740	ARIELLE	FANA	13/06/2019 05:32
1560396760	ARIELLE	FANA	13/06/2019 05:32
1560396780	VIOLETTE	HARLEM	13/06/2019 05:33
1560396780	ARIELLE	FANA	13/06/2019 05:33
1560396800	ARIELLE	FANA	13/06/2019 05:33
1560397340	FANA	VIOLETTE	13/06/2019 05:42
1560397360	ARIELLE	FANA	13/06/2019 05:42
1560397380	FANA	HARLEM	13/06/2019 05:43
1560397380	ARIELLE	FANA	13/06/2019 05:43
1560397400	FANA	HARLEM	13/06/2019 05:43
1560397420	FANA	HARLEM	13/06/2019 05:43
1560397440	ARIELLE	FANA	13/06/2019 05:44
1560397460	FEYA	HARLEM	13/06/2019 05:44
1560397460	ARIELLE	FANA	13/06/2019 05:44
1560397460	EWINE	ANGELE	13/06/2019 05:44
1560397460	EWINE	VIOLETTE	13/06/2019 05:44
1560397460	EWINE	HARLEM	13/06/2019 05:44
1560397460	FELIPE	ANGELE	13/06/2019 05:44
1560397480	EWINE	ANGELE	13/06/2019 05:44
1560397480	FEYA	HARLEM	13/06/2019 05:44
1560397480	ARIELLE	HARLEM	13/06/2019 05:44
1560397480	ARIELLE	FANA	13/06/2019 05:44
1560397500	EWINE	VIOLETTE	13/06/2019 05:45
1560397500	FANA	FEYA	13/06/2019 05:45
1560397520	EWINE	VIOLETTE	13/06/2019 05:45
1560397520	FELIPE	ANGELE	13/06/2019 05:45
1560397580	FEYA	ANGELE	13/06/2019 05:46
1560397580	FELIPE	ANGELE	13/06/2019 05:46
1560397580	VIOLETTE	HARLEM	13/06/2019 05:46
1560397600	FEYA	ANGELE	13/06/2019 05:46
1560397640	FEYA	ANGELE	13/06/2019 05:47
1560397640	VIOLETTE	ANGELE	13/06/2019 05:47
1560397660	FEYA	HARLEM	13/06/2019 05:47
1560397660	KALI	PIPO	13/06/2019 05:47
1560397660	HARLEM	ANGELE	13/06/2019 05:47
1560397660	VIOLETTE	HARLEM	13/06/2019 05:47
1560397680	VIOLETTE	ANGELE	13/06/2019 05:48
1560397680	FELIPE	ANGELE	13/06/2019 05:48
1560397700	FELIPE	ANGELE	13/06/2019 05:48
